Name:	Time of generation: 	 Number of activities: 	 Number of source activities:	Number of sink activities:	Mean number of non-redundant predecessor nodes:	 Number of non-redundant arcs:	Order strength: 	  Number of redundant arcs:	 Number of max time-lags: 	 Number of cycle structures:	 Mean number of nodes per cycle structure: 	Min number of nodes in a cycle structure:	Max number of nodes in a cycle structure:	Number of resources 	Mean principle resource requirement: 	Mean minimal activity duration: 	 Mean maximal activity duration: 	 Resource factor: 	 Resource strength: 	 Network-based LB: 	 UB on optimal makespan:
psp15	2019-12-09 07:45:57	30	8	5	1.4666666666666666	47	0.41	25	13	5	11.60	4	20	5	26.033333333333335	6.766666666666667	18.6	0.7533333333333333	0.05	97	697
psp16	2019-12-09 07:45:57	30	1	10	1.1	29	0.28	16	4	4	5.50	4	6	5	24.266666666666666	6.133333333333334	15.5	0.7533333333333333	0.05	79	542
psp17	2019-12-09 07:45:58	30	10	7	1.3333333333333333	39	0.41	25	7	4	11.00	4	16	5	25.733333333333334	6.966666666666667	18.133333333333333	0.7533333333333333	0.05	65	634
psp18	2019-12-09 07:45:58	30	3	8	1.3333333333333333	36	0.42	28	5	1	20.00	20	20	5	24.6	6.266666666666667	14.833333333333334	0.7533333333333333	0.05	95	545
psp19	2019-12-09 07:45:59	30	8	8	1.4666666666666666	45	0.40	27	12	4	10.00	4	20	5	27.366666666666667	6.766666666666667	16.6	0.7533333333333333	0.05	57	570
psp20	2019-12-09 07:45:59	30	7	5	1.4	43	0.40	25	14	2	12.00	4	20	5	27.7	7.266666666666667	18.366666666666667	0.7533333333333333	0.05	105	681
psp21	2019-12-09 07:46:00	30	8	8	1.8166666666666667	66	0.40	26	19	4	19.00	18	20	5	26.266666666666666	6.866666666666666	16.466666666666665	0.7533333333333333	0.05	81	636
psp22	2019-12-09 07:46:01	30	9	8	1.7166666666666666	65	0.33	18	7	1	20.00	20	20	5	27.8	6.766666666666667	17.9	0.7533333333333333	0.05	51	631
psp23	2019-12-09 07:46:01	30	9	7	1.5	44	0.49	33	7	2	20.00	20	20	5	25.566666666666666	6.833333333333333	15.866666666666667	0.7533333333333333	0.05	111	569
psp24	2019-12-09 07:46:02	30	4	5	1.35	38	0.43	28	5	2	13.00	6	20	5	25.966666666666665	6.666666666666667	13.033333333333333	0.7533333333333333	0.05	122	524
psp25	2019-12-09 07:46:02	30	2	5	1.15	31	0.42	22	13	1	20.00	20	20	5	28.233333333333334	7.366666666666666	16.966666666666665	0.7533333333333333	0.05	128	606
psp26	2019-12-09 07:46:02	30	1	8	1.15	29	0.33	21	7	4	6.50	4	12	5	26.366666666666667	6.866666666666666	17.566666666666666	0.7533333333333333	0.05	127	610
psp27	2019-12-09 07:46:03	30	5	4	1.4	47	0.30	17	8	3	10.00	10	10	5	26.466666666666665	7.033333333333333	14.466666666666667	0.7533333333333333	0.05	62	557
psp28	2019-12-09 07:46:03	30	5	2	1.2666666666666666	32	0.62	36	4	3	8.67	4	12	5	24.5	7.033333333333333	14.733333333333333	0.7533333333333333	0.05	118	533
psp29	2019-12-09 07:46:04	30	3	6	1.2	33	0.43	24	4	4	8.00	4	20	5	27.033333333333335	6.3	18.6	0.7533333333333333	0.05	56	608
psp30	2019-12-09 07:46:05	30	10	3	1.6	54	0.40	25	12	2	12.00	4	20	5	22.966666666666665	6.2	15.766666666666667	0.7533333333333333	0.05	82	605
psp31	2019-12-09 07:46:05	30	3	9	1.2666666666666666	37	0.39	22	11	4	17.00	8	20	5	26.066666666666666	7.066666666666666	16.133333333333333	0.7533333333333333	0.15	81	551
psp32	2019-12-09 07:46:06	30	1	8	1.0666666666666667	29	0.28	14	6	4	5.00	4	6	5	23.8	6.5	17.266666666666666	0.7533333333333333	0.15	75	585
psp33	2019-12-09 07:46:06	30	5	4	1.3666666666666667	40	0.40	26	7	5	7.60	4	12	5	27.033333333333335	7.033333333333333	18.733333333333334	0.7533333333333333	0.15	120	715
psp34	2019-12-09 07:46:07	30	9	6	1.3166666666666667	37	0.46	28	14	4	12.50	4	20	5	28.966666666666665	7.4	19.866666666666667	0.7533333333333333	0.15	85	678
psp35	2019-12-09 07:46:07	30	8	7	1.6	57	0.32	19	5	1	16.00	16	16	5	22.566666666666666	5.833333333333333	13.9	0.7533333333333333	0.15	54	538
psp36	2019-12-09 07:46:08	30	4	5	1.3166666666666667	41	0.36	20	10	1	20.00	20	20	5	25.133333333333333	6.1	15.633333333333333	0.7533333333333333	0.15	59	549
psp37	2019-12-09 07:46:08	30	6	2	1.2666666666666666	37	0.45	24	7	1	20.00	20	20	5	25.633333333333333	6.466666666666667	12.433333333333334	0.7533333333333333	0.15	130	498
psp38	2019-12-09 07:46:09	30	3	8	1.2333333333333334	37	0.32	18	13	2	13.00	12	14	5	24.7	6.433333333333334	13.666666666666666	0.7533333333333333	0.15	91	486
psp39	2019-12-09 07:46:09	30	7	3	1.4	39	0.49	32	10	2	20.00	20	20	5	24.833333333333332	6.166666666666667	14.366666666666667	0.7533333333333333	0.15	79	515
psp40	2019-12-09 07:46:10	30	9	3	1.3666666666666667	35	0.54	36	14	3	14.67	8	20	5	25.966666666666665	6.1	13.7	0.7533333333333333	0.15	86	494
psp41	2019-12-09 07:46:11	30	9	9	1.6833333333333333	56	0.41	28	12	4	12.00	4	20	5	26.1	6.533333333333333	14.733333333333333	0.7533333333333333	0.15	101	576
psp42	2019-12-09 07:46:11	30	6	2	1.2166666666666666	33	0.40	24	11	2	15.00	10	20	5	28.6	7.733333333333333	14.966666666666667	0.7533333333333333	0.15	117	524
psp43	2019-12-09 07:46:11	30	5	10	1.3	35	0.41	27	5	3	12.00	4	16	5	25.8	6.266666666666667	14.933333333333334	0.7533333333333333	0.15	89	526
psp44	2019-12-09 07:46:12	30	5	3	1.3333333333333333	35	0.50	32	10	2	14.00	12	16	5	28.2	7.033333333333333	18.633333333333333	0.7533333333333333	0.15	82	618
psp45	2019-12-09 07:46:13	30	3	2	1.1166666666666667	29	0.41	22	11	5	9.60	4	14	5	24.766666666666666	6.4	15.266666666666667	0.7533333333333333	0.15	81	568
psp46	2019-12-09 07:46:13	30	6	7	1.5333333333333334	52	0.40	23	10	3	9.33	4	18	5	25.066666666666666	6.1	16.733333333333334	0.7533333333333333	0.15	73	615
psp47	2019-12-09 07:46:14	30	2	9	1.15	33	0.33	17	5	5	4.40	4	6	5	24.4	6.366666666666666	15.0	0.7533333333333333	0.15	81	506
psp48	2019-12-09 07:46:14	30	8	2	1.4833333333333334	44	0.50	32	10	2	16.00	12	20	5	26.6	6.8	18.666666666666668	0.7533333333333333	0.15	113	685
psp49	2019-12-09 07:46:15	30	1	5	1.0833333333333333	29	0.28	15	10	1	20.00	20	20	5	28.1	7.666666666666667	15.966666666666667	0.7533333333333333	0.15	58	529
psp50	2019-12-09 07:46:15	30	9	3	1.45	39	0.52	36	8	3	16.00	12	18	5	25.533333333333335	6.066666666666666	13.733333333333333	0.7533333333333333	0.15	71	509
psp51	2019-12-09 07:46:16	30	8	5	1.5166666666666666	52	0.40	22	14	5	11.20	4	18	5	24.466666666666665	6.133333333333334	15.733333333333333	0.7533333333333333	0.15	78	589
psp52	2019-12-09 07:46:17	30	5	8	1.45	47	0.38	23	13	2	17.00	14	20	5	26.966666666666665	6.966666666666667	14.4	0.7533333333333333	0.15	79	523
psp53	2019-12-09 07:46:17	30	10	9	1.5166666666666666	47	0.40	28	11	2	16.00	12	20	5	24.566666666666666	6.6	16.833333333333332	0.7533333333333333	0.15	82	614
psp54	2019-12-09 07:46:18	30	9	10	1.6	53	0.40	26	15	5	17.60	16	20	5	24.9	6.566666666666666	15.733333333333333	0.7533333333333333	0.15	57	574
psp55	2019-12-09 07:46:18	30	3	6	1.2333333333333334	35	0.40	23	12	4	14.50	4	18	5	27.366666666666667	7.266666666666667	16.6	0.7533333333333333	0.15	62	589
psp56	2019-12-09 07:46:19	30	10	2	1.65	56	0.40	26	18	2	18.00	18	18	5	27.1	6.833333333333333	16.8	0.7533333333333333	0.15	68	649
psp57	2019-12-09 07:46:20	30	10	1	1.7333333333333334	63	0.40	24	18	5	14.00	6	18	5	26.066666666666666	7.033333333333333	15.766666666666667	0.7533333333333333	0.15	69	586
psp58	2019-12-09 07:46:20	30	6	9	1.5	49	0.40	24	8	4	8.00	4	16	5	28.466666666666665	7.033333333333333	16.433333333333334	0.7533333333333333	0.15	55	599
psp59	2019-12-09 07:46:21	30	10	3	1.3	37	0.42	25	12	1	20.00	20	20	5	22.666666666666668	6.4	15.866666666666667	0.7533333333333333	0.15	67	575
psp60	2019-12-09 07:46:22	30	8	2	1.5833333333333333	56	0.40	22	8	1	18.00	18	18	5	27.966666666666665	6.7	17.366666666666667	0.7533333333333333	0.15	71	625
psp61	2019-12-09 07:46:22	30	10	6	1.5166666666666666	48	0.40	26	13	2	20.00	20	20	5	24.266666666666666	6.2	14.366666666666667	0.7533333333333333	0.25	76	548
psp62	2019-12-09 07:46:23	30	10	5	1.65	55	0.42	28	8	1	20.00	20	20	5	26.1	7.466666666666667	17.166666666666668	0.7533333333333333	0.25	69	657
psp63	2019-12-09 07:46:23	30	1	8	1.2666666666666666	29	0.54	36	5	2	6.00	4	8	5	25.133333333333333	6.533333333333333	16.566666666666666	0.7533333333333333	0.25	73	579
psp64	2019-12-09 07:46:24	30	6	10	1.5166666666666666	47	0.41	28	5	3	8.67	4	14	5	24.333333333333332	6.366666666666666	13.866666666666667	0.7533333333333333	0.25	75	507
psp65	2019-12-09 07:46:24	30	5	2	1.3	36	0.40	26	15	1	20.00	20	20	5	27.166666666666668	7.2	16.633333333333333	0.7533333333333333	0.25	129	612
psp66	2019-12-09 07:46:25	30	2	5	1.2333333333333334	33	0.38	24	7	2	13.00	6	20	5	25.9	6.833333333333333	14.433333333333334	0.7533333333333333	0.25	104	524
psp67	2019-12-09 07:46:25	30	1	3	1.25	29	0.63	38	8	2	18.00	16	20	5	26.4	6.966666666666667	17.333333333333332	0.7533333333333333	0.25	132	613
psp68	2019-12-09 07:46:26	30	3	3	1.2666666666666666	35	0.40	25	9	5	8.00	4	12	5	27.466666666666665	6.766666666666667	18.333333333333332	0.7533333333333333	0.25	101	628
psp69	2019-12-09 07:46:26	30	8	8	1.6	59	0.32	17	5	2	18.00	18	18	5	27.0	7.2	18.033333333333335	0.7533333333333333	0.25	93	665
psp70	2019-12-09 07:46:27	30	7	5	1.6666666666666667	56	0.37	24	12	2	14.00	8	20	5	26.933333333333334	6.4	15.9	0.7533333333333333	0.25	170	693
psp71	2019-12-09 07:46:28	30	2	6	1.2166666666666666	33	0.36	22	11	2	16.00	12	20	5	26.933333333333334	6.833333333333333	16.633333333333333	0.7533333333333333	0.25	100	587
psp72	2019-12-09 07:46:28	30	1	8	1.1833333333333333	29	0.44	27	12	1	20.00	20	20	5	26.366666666666667	6.633333333333334	16.1	0.7533333333333333	0.25	32	543
psp73	2019-12-09 07:46:29	30	7	10	1.4333333333333333	42	0.41	28	10	2	13.00	10	16	5	26.733333333333334	6.566666666666666	16.8	0.7533333333333333	0.25	63	593
psp74	2019-12-09 07:46:29	30	4	7	1.3166666666666667	41	0.33	19	13	2	20.00	20	20	5	24.866666666666667	6.533333333333333	15.366666666666667	0.7533333333333333	0.25	77	541
psp75	2019-12-09 07:46:30	30	3	2	1.1833333333333333	29	0.55	31	5	3	16.00	12	18	5	26.966666666666665	7.233333333333333	19.0	0.7533333333333333	0.25	83	638
psp76	2019-12-09 07:46:30	30	6	6	1.4	40	0.41	28	12	3	9.33	6	12	5	26.333333333333332	6.9	16.166666666666668	0.7533333333333333	0.25	95	581
psp77	2019-12-09 07:46:31	30	4	1	1.2166666666666666	31	0.41	26	11	3	11.33	4	20	5	26.766666666666666	6.8	16.4	0.7533333333333333	0.25	83	567
psp78	2019-12-09 07:46:31	30	5	9	1.4833333333333334	48	0.34	22	11	5	8.80	4	14	5	28.733333333333334	7.4	16.566666666666666	0.7533333333333333	0.25	66	589
psp79	2019-12-09 07:46:32	30	6	4	1.2833333333333334	36	0.41	25	4	1	6.00	6	6	5	24.666666666666668	6.6	17.366666666666667	0.7533333333333333	0.25	93	618
psp80	2019-12-09 07:46:32	30	7	7	1.3833333333333333	41	0.41	26	13	1	20.00	20	20	5	24.866666666666667	6.466666666666667	15.266666666666667	0.7533333333333333	0.25	72	564
psp81	2019-12-09 07:46:33	30	4	7	1.2666666666666666	36	0.42	25	13	1	20.00	20	20	5	27.166666666666668	6.933333333333334	17.9	0.7533333333333333	0.25	78	610
psp82	2019-12-09 07:46:33	30	3	5	1.1666666666666667	31	0.44	24	6	5	5.20	4	8	5	24.866666666666667	6.966666666666667	15.966666666666667	0.7533333333333333	0.25	93	560
psp83	2019-12-09 07:46:34	30	6	4	1.5166666666666666	51	0.40	23	16	4	8.50	4	16	5	25.033333333333335	6.7	13.966666666666667	0.7533333333333333	0.25	58	522
psp84	2019-12-09 07:46:34	30	4	3	1.3166666666666667	42	0.37	19	5	2	9.00	6	12	5	26.733333333333334	6.766666666666667	15.0	0.7533333333333333	0.25	66	547
psp85	2019-12-09 07:46:35	30	7	1	1.6	54	0.40	25	7	5	8.00	4	20	5	22.466666666666665	5.366666666666666	12.833333333333334	0.7533333333333333	0.25	71	464
psp86	2019-12-09 07:46:36	30	5	10	1.4666666666666666	46	0.42	26	9	4	8.00	4	16	5	27.1	6.5	17.9	0.7533333333333333	0.25	79	655
psp87	2019-12-09 07:46:36	30	10	1	1.3833333333333333	40	0.44	28	11	2	13.00	6	20	5	22.733333333333334	5.933333333333334	13.6	0.7533333333333333	0.25	86	496
psp88	2019-12-09 07:46:37	30	5	7	1.4166666666666667	42	0.41	27	8	3	5.33	4	8	5	23.766666666666666	6.933333333333334	15.566666666666666	0.7533333333333333	0.25	56	555
psp89	2019-12-09 07:46:37	30	7	5	1.6166666666666667	56	0.37	22	14	3	10.67	4	20	5	24.666666666666668	6.266666666666667	16.7	0.7533333333333333	0.25	65	611
psp90	2019-12-09 07:46:38	30	10	4	1.3666666666666667	38	0.48	30	6	1	14.00	14	14	5	26.8	7.033333333333333	16.833333333333332	0.7533333333333333	0.25	115	617
