Name:	Time of generation: 	 Number of activities: 	 Number of source activities:	Number of sink activities:	Mean number of non-redundant predecessor nodes:	 Number of non-redundant arcs:	Order strength: 	  Number of redundant arcs:	 Number of max time-lags: 	 Number of cycle structures:	 Mean number of nodes per cycle structure: 	Min number of nodes in a cycle structure:	Max number of nodes in a cycle structure:	Number of resources 	Mean principle resource requirement: 	Mean minimal activity duration: 	 Mean maximal activity duration: 	 Resource factor: 	 Resource strength: 	 Network-based LB: 	 UB on optimal makespan:
psp80	2019-10-22 17:30:15	20	5	5	1.5	35	0.38	9	8	1	20.00	20	20	5	28.35	7.8	18.15	0.75	0.25	60	446
psp81	2019-10-22 17:30:15	20	6	7	1.55	39	0.38	8	9	1	20.00	20	20	5	27.7	7.1	13.4	0.75	0.25	60	340
psp82	2019-10-22 17:30:15	20	3	4	1.2	22	0.40	12	8	2	20.00	20	20	5	27.35	6.95	16.6	0.75	0.25	76	393
psp83	2019-10-22 17:30:16	20	6	1	1.25	25	0.41	11	7	2	9.00	6	12	5	23.0	5.85	13.4	0.75	0.25	78	315
psp84	2019-10-22 17:30:16	20	5	6	1.45	33	0.40	11	11	3	15.33	6	20	5	26.6	6.95	14.1	0.75	0.25	61	357
psp85	2019-10-22 17:30:16	20	1	8	1.075	19	0.33	9	7	4	7.00	4	14	5	25.65	6.25	17.55	0.75	0.25	49	393
psp86	2019-10-22 17:30:16	20	6	6	1.3	28	0.40	10	3	1	14.00	14	14	5	28.55	6.9	17.15	0.75	0.25	65	399
psp87	2019-10-22 17:30:16	20	3	8	1.275	27	0.30	8	5	3	5.33	4	6	5	24.0	6.2	14.45	0.75	0.25	57	356
psp88	2019-10-22 17:30:16	20	2	4	1.125	21	0.41	10	7	1	18.00	18	18	5	25.85	6.25	15.0	0.75	0.25	42	322
psp89	2019-10-22 17:30:17	20	2	7	1.15	23	0.29	7	8	1	16.00	16	16	5	28.2	7.55	14.0	0.75	0.25	55	340
psp90	2019-10-22 17:30:17	20	7	5	1.325	28	0.41	11	4	2	18.00	18	18	5	26.3	6.25	17.3	0.75	0.25	37	396
