Name:	Time of generation: 	 Number of activities: 	 Number of source activities:	Number of sink activities:	Mean number of non-redundant predecessor nodes:	 Number of non-redundant arcs:	Order strength: 	  Number of redundant arcs:	 Number of max time-lags: 	 Number of cycle structures:	 Mean number of nodes per cycle structure: 	Min number of nodes in a cycle structure:	Max number of nodes in a cycle structure:	Number of resources 	Mean principle resource requirement: 	Mean minimal activity duration: 	 Mean maximal activity duration: 	 Resource factor: 	 Resource strength: 	 Network-based LB: 	 UB on optimal makespan:
psp19	2019-10-22 17:40:33	100	8	14	1.4	131	0.19	124	29	4	19.00	16	20	5	26.48	6.87	15.3	0.75	0.05	92	1782
psp20	2019-10-22 17:40:47	100	12	14	1.87	129	0.42	310	36	2	20.00	20	20	5	27.99	7.49	18.07	0.75	0.05	234	2289
psp21	2019-10-22 17:41:02	100	11	8	1.52	143	0.22	145	57	2	16.00	12	20	5	26.77	6.62	17.54	0.75	0.05	127	2082
psp22	2019-10-22 17:41:21	100	23	12	2.125	182	0.40	300	35	5	20.00	20	20	5	26.06	7.02	16.73	0.75	0.05	106	2151
psp23	2019-10-22 17:41:40	100	12	12	1.805	146	0.38	263	37	3	20.00	20	20	5	27.79	7.21	18.03	0.75	0.05	153	2178
psp24	2019-10-22 17:42:05	100	19	11	2.19	195	0.40	299	50	5	20.00	20	20	5	26.98	6.6	15.69	0.75	0.05	142	2009
psp25	2019-10-22 17:42:22	100	18	15	2.065	181	0.38	282	26	2	13.00	6	20	5	26.16	6.58	16.4	0.75	0.05	142	2141
psp26	2019-10-22 17:42:37	100	14	25	1.63	164	0.20	137	33	2	20.00	20	20	5	26.31	6.45	17.19	0.75	0.05	104	2065
psp27	2019-10-22 17:42:54	100	4	1	1.495	110	0.30	207	27	2	20.00	20	20	5	25.54	6.62	15.95	0.75	0.05	252	2000
psp28	2019-10-22 17:43:07	100	8	1	1.71	120	0.41	283	21	1	20.00	20	20	5	25.5	6.7	15.81	0.75	0.05	199	2015
psp29	2019-10-22 17:43:25	100	16	18	2.035	175	0.40	290	57	3	14.67	4	20	5	24.04	6.17	14.4	0.75	0.05	167	1841
psp30	2019-10-22 17:43:38	100	4	24	1.32	114	0.19	122	18	4	15.00	4	20	5	26.43	6.47	15.67	0.75	0.05	135	1797
psp31	2019-10-22 17:43:52	100	4	20	1.525	112	0.29	209	16	5	14.80	6	20	5	25.97	6.74	14.69	0.75	0.15	131	1766
psp32	2019-10-22 17:44:09	100	10	25	2.005	165	0.38	284	40	2	20.00	20	20	5	24.85	6.65	15.56	0.75	0.15	126	1892
psp33	2019-10-22 17:44:23	100	2	17	1.355	103	0.24	164	27	1	20.00	20	20	5	27.62	6.78	18.12	0.75	0.15	106	2109
psp34	2019-10-22 17:44:37	100	11	22	1.74	146	0.30	218	26	1	20.00	20	20	5	26.52	6.5	15.61	0.75	0.15	108	1937
psp35	2019-10-22 17:44:52	100	6	7	1.39	125	0.22	139	33	1	20.00	20	20	5	25.94	6.25	15.06	0.75	0.15	125	1762
psp36	2019-10-22 17:45:12	100	23	7	2.07	169	0.41	307	38	4	20.00	20	20	5	25.69	6.49	15.73	0.75	0.15	198	2043
psp37	2019-10-22 17:45:29	100	21	23	2.12	179	0.40	304	56	2	20.00	20	20	5	24.87	6.38	16.03	0.75	0.15	122	2034
psp38	2019-10-22 17:45:41	100	7	25	1.45	130	0.20	138	15	2	18.00	16	20	5	26.4	6.8	16.51	0.75	0.15	155	2025
psp39	2019-10-22 17:46:03	100	14	5	1.92	168	0.37	262	58	5	18.80	14	20	5	25.74	6.82	15.97	0.75	0.15	154	2067
psp40	2019-10-22 17:46:21	100	17	7	2.02	140	0.49	359	65	5	15.20	4	20	5	25.64	7.03	16.73	0.75	0.15	243	2143
psp41	2019-10-22 17:46:35	100	1	15	1.41	99	0.30	200	26	1	20.00	20	20	5	25.18	6.5	15.9	0.75	0.15	160	1894
psp42	2019-10-22 17:46:55	100	24	17	2.255	211	0.39	291	51	4	20.00	20	20	5	25.96	6.99	15.47	0.75	0.15	141	1969
psp43	2019-10-22 17:47:08	100	5	25	1.51	119	0.26	187	31	1	20.00	20	20	5	25.65	6.56	14.96	0.75	0.15	115	1791
psp44	2019-10-22 17:47:23	100	14	18	1.74	157	0.29	204	27	2	20.00	20	20	5	24.83	6.41	16.18	0.75	0.15	137	1989
psp45	2019-10-22 17:47:44	100	18	7	2.075	182	0.40	292	24	3	20.00	20	20	5	25.38	6.58	16.69	0.75	0.15	163	2079
psp46	2019-10-22 17:48:01	100	4	22	1.37	111	0.22	146	38	5	18.40	14	20	5	26.28	7.03	16.11	0.75	0.15	145	1913
psp47	2019-10-22 17:48:19	100	17	7	1.905	150	0.40	291	50	3	20.00	20	20	5	25.13	6.66	16.02	0.75	0.15	271	1992
psp48	2019-10-22 17:48:37	100	18	16	1.92	150	0.40	292	44	5	20.00	20	20	5	25.65	6.72	16.96	0.75	0.15	148	2136
psp49	2019-10-22 17:48:57	100	22	6	2.15	189	0.40	300	71	3	20.00	20	20	5	27.04	7.2	15.5	0.75	0.15	213	2166
psp50	2019-10-22 17:49:14	100	5	4	1.455	115	0.27	184	22	4	20.00	20	20	5	26.67	6.87	17.43	0.75	0.15	191	2069
psp51	2019-10-22 17:49:35	100	12	1	1.89	149	0.41	290	75	2	20.00	20	20	5	24.69	6.21	15.89	0.75	0.15	275	2072
psp52	2019-10-22 17:49:52	100	10	20	1.535	134	0.22	160	34	5	18.80	14	20	5	25.67	6.68	15.75	0.75	0.15	154	1952
psp53	2019-10-22 17:50:05	100	3	10	1.33	107	0.19	132	27	1	20.00	20	20	5	24.29	6.34	14.22	0.75	0.15	145	1674
psp54	2019-10-22 17:50:23	100	6	4	1.505	119	0.30	200	33	4	18.00	12	20	5	26.82	6.96	17.93	0.75	0.15	200	2154
psp55	2019-10-22 17:50:38	100	4	12	1.615	112	0.39	264	19	1	20.00	20	20	5	26.23	6.97	17.11	0.75	0.15	195	2016
psp56	2019-10-22 17:50:52	100	9	19	1.48	140	0.19	129	14	5	11.60	4	20	5	25.4	6.47	15.62	0.75	0.15	102	1935
psp57	2019-10-22 17:51:10	100	17	19	1.845	177	0.27	199	65	3	20.00	20	20	5	26.58	6.92	16.62	0.75	0.15	111	2084
psp58	2019-10-22 17:51:26	100	13	6	1.63	149	0.26	179	20	3	19.33	18	20	5	24.47	6.43	14.23	0.75	0.15	203	1827
psp59	2019-10-22 17:51:45	100	8	12	1.675	143	0.28	204	61	4	18.00	12	20	5	27.1	6.84	15.27	0.75	0.15	182	1954
psp60	2019-10-22 17:52:00	100	4	19	1.45	116	0.23	166	31	2	20.00	20	20	5	27.12	6.96	15.95	0.75	0.15	161	1936
psp61	2019-10-22 17:52:21	100	16	5	1.935	172	0.36	255	63	4	18.50	14	20	5	25.69	6.76	14.64	0.75	0.25	204	1924
psp62	2019-10-22 17:52:39	100	13	15	1.67	155	0.26	180	41	4	20.00	20	20	5	26.55	7.08	16.57	0.75	0.25	140	2100
psp63	2019-10-22 17:52:56	100	12	11	1.77	151	0.35	243	41	3	20.00	20	20	5	27.36	7.05	17.86	0.75	0.25	173	2306
psp64	2019-10-22 17:53:10	100	2	12	1.395	103	0.29	191	25	1	20.00	20	20	5	25.34	6.32	16.1	0.75	0.25	157	1880
psp65	2019-10-22 17:53:26	100	4	5	1.55	123	0.29	202	16	2	20.00	20	20	5	26.16	6.68	16.19	0.75	0.25	230	2006
psp66	2019-10-22 17:53:42	100	13	18	1.85	157	0.34	245	57	1	20.00	20	20	5	25.62	6.35	16.91	0.75	0.25	119	2092
psp67	2019-10-22 17:54:01	100	25	12	2.1	202	0.35	256	59	3	20.00	20	20	5	25.83	6.45	15.18	0.75	0.25	161	1998
psp68	2019-10-22 17:54:17	100	15	16	1.73	165	0.26	183	62	2	20.00	20	20	5	25.76	6.78	14.77	0.75	0.25	109	1855
psp69	2019-10-22 17:54:39	100	10	11	1.62	138	0.31	206	58	5	20.00	20	20	5	26.11	6.57	15.5	0.75	0.25	110	1872
psp70	2019-10-22 17:54:55	100	3	10	1.495	119	0.25	177	48	2	14.00	8	20	5	23.95	6.45	14.76	0.75	0.25	134	1848
psp71	2019-10-22 17:55:11	100	12	11	1.675	147	0.29	200	23	5	17.20	10	20	5	26.54	6.73	16.88	0.75	0.25	149	2103
psp72	2019-10-22 17:55:32	100	14	22	1.885	134	0.41	304	73	5	20.00	20	20	5	25.56	6.51	15.9	0.75	0.25	137	2034
psp73	2019-10-22 17:55:47	100	5	11	1.475	114	0.28	190	50	2	12.00	4	20	5	25.68	6.47	16.97	0.75	0.25	106	1989
psp74	2019-10-22 17:56:05	100	24	3	2.14	195	0.40	290	36	2	20.00	20	20	5	28.19	7.22	17.99	0.75	0.25	186	2464
psp75	2019-10-22 17:56:21	100	1	18	1.435	99	0.30	205	45	2	20.00	20	20	5	25.75	6.3	17.19	0.75	0.25	188	1996
psp76	2019-10-22 17:56:37	100	15	14	1.935	169	0.36	259	41	1	20.00	20	20	5	23.77	6.09	13.36	0.75	0.25	135	1733
psp77	2019-10-22 17:57:01	100	10	4	1.72	142	0.35	240	65	5	18.80	14	20	5	26.9	7.04	17.11	0.75	0.25	157	2106
psp78	2019-10-22 17:57:15	100	8	19	1.425	128	0.19	131	20	5	13.60	6	20	5	25.45	6.75	15.74	0.75	0.25	124	1910
psp79	2019-10-22 17:57:39	100	25	21	2.17	210	0.35	260	57	5	19.60	18	20	5	24.9	6.55	17.92	0.75	0.25	212	2234
psp80	2019-10-22 17:57:56	100	1	3	1.355	99	0.26	173	40	4	16.00	12	20	5	24.58	6.5	15.11	0.75	0.25	107	1820
psp81	2019-10-22 17:58:14	100	22	10	1.85	136	0.40	293	70	3	20.00	20	20	5	26.4	6.18	16.67	0.75	0.25	244	2048
psp82	2019-10-22 17:58:30	100	2	16	1.41	103	0.25	177	26	5	15.60	4	20	5	26.19	6.87	17.03	0.75	0.25	174	1985
psp83	2019-10-22 17:58:47	100	11	21	1.76	147	0.31	227	43	2	20.00	20	20	5	24.9	6.26	15.46	0.75	0.25	131	1931
psp84	2019-10-22 17:59:04	100	15	3	1.805	132	0.41	290	50	5	18.40	16	20	5	25.23	6.61	15.16	0.75	0.25	157	1995
psp85	2019-10-22 17:59:22	100	15	12	1.885	175	0.32	227	44	2	20.00	20	20	5	26.72	6.86	16.45	0.75	0.25	148	2089
psp86	2019-10-22 17:59:40	100	6	10	1.555	119	0.28	202	52	2	20.00	20	20	5	24.9	6.45	14.58	0.75	0.25	172	1802
psp87	2019-10-22 17:59:57	100	11	15	1.67	156	0.25	175	30	5	16.00	4	20	5	26.12	6.76	16.75	0.75	0.25	160	1986
psp88	2019-10-22 18:00:14	100	1	16	1.48	99	0.33	225	44	2	20.00	20	20	5	25.6	6.84	17.35	0.75	0.25	243	2117
psp89	2019-10-22 18:00:31	100	24	24	2.375	223	0.40	307	68	1	20.00	20	20	5	25.8	6.35	16.29	0.75	0.25	118	2137
psp90	2019-10-22 18:00:49	100	25	10	1.975	147	0.42	314	42	3	20.00	20	20	5	27.09	6.57	16.8	0.75	0.25	160	2122
