Name:	Time of generation: 	 Number of activities: 	 Number of source activities:	Number of sink activities:	Mean number of non-redundant predecessor nodes:	 Number of non-redundant arcs:	Order strength: 	  Number of redundant arcs:	 Number of max time-lags: 	 Number of cycle structures:	 Mean number of nodes per cycle structure: 	Min number of nodes in a cycle structure:	Max number of nodes in a cycle structure:	Number of resources 	Mean principle resource requirement: 	Mean minimal activity duration: 	 Mean maximal activity duration: 	 Resource factor: 	 Resource strength: 	 Network-based LB: 	 UB on optimal makespan:
psp45	2019-10-22 17:32:30	50	6	2	1.42	65	0.40	66	27	2	12.00	4	20	5	26.64	6.54	16.5	0.752	0.15	75	920
psp46	2019-10-22 17:32:33	50	12	12	1.78	93	0.41	74	21	3	17.33	16	20	5	26.72	6.98	19.48	0.752	0.15	158	1226
psp47	2019-10-22 17:32:35	50	1	14	1.09	49	0.18	27	9	2	14.00	10	18	5	27.88	7.16	16.32	0.752	0.15	94	983
psp48	2019-10-22 17:32:38	50	8	10	1.65	80	0.42	75	19	5	12.80	6	20	5	25.08	6.22	14.24	0.752	0.15	96	864
psp49	2019-10-22 17:32:40	50	11	9	1.75	88	0.40	76	25	1	20.00	20	20	5	23.52	6.3	13.04	0.752	0.15	98	873
psp50	2019-10-22 17:32:42	50	8	13	1.7	88	0.37	67	26	1	20.00	20	20	5	24.54	6.14	14.94	0.752	0.15	81	946
psp51	2019-10-22 17:32:45	50	4	14	1.42	64	0.33	60	17	5	14.00	4	20	5	26.18	6.44	16.64	0.752	0.15	99	965
psp52	2019-10-22 17:32:48	50	9	1	1.54	83	0.33	52	30	4	20.00	20	20	5	26.52	6.66	17.64	0.752	0.15	114	1047
psp53	2019-10-22 17:32:50	50	1	14	1.2	49	0.29	49	6	1	10.00	10	10	5	25.42	6.22	15.5	0.752	0.15	120	910
psp54	2019-10-22 17:32:52	50	14	7	1.58	70	0.42	79	11	5	9.60	4	16	5	25.98	6.88	14.22	0.752	0.15	183	921
psp55	2019-10-22 17:32:54	50	11	8	1.69	85	0.41	74	14	5	8.40	4	14	5	26.64	6.7	16.78	0.752	0.15	112	1054
psp56	2019-10-22 17:32:57	50	13	4	1.85	106	0.37	65	26	2	20.00	20	20	5	26.06	6.66	15.16	0.752	0.15	72	972
psp57	2019-10-22 17:33:01	50	10	12	1.72	85	0.40	76	27	5	12.80	4	20	5	26.64	7.12	17.76	0.752	0.15	83	1055
psp58	2019-10-22 17:33:03	50	8	10	1.61	82	0.36	64	20	3	13.33	6	20	5	27.18	7.08	18.78	0.752	0.15	100	1127
psp59	2019-10-22 17:33:06	50	15	15	1.93	112	0.34	63	31	5	20.00	20	20	5	25.72	6.58	17.2	0.752	0.15	76	1066
psp60	2019-10-22 17:33:09	50	2	5	1.28	53	0.28	50	21	3	15.33	14	18	5	26.1	6.46	17.36	0.752	0.15	76	1023
psp61	2019-10-22 17:33:12	50	8	3	1.64	81	0.39	70	18	2	20.00	20	20	5	26.38	6.94	13.1	0.752	0.25	120	930
psp62	2019-10-22 17:33:16	50	4	8	1.4	62	0.34	61	26	5	16.00	8	20	5	23.96	5.92	13.92	0.752	0.25	67	836
psp63	2019-10-22 17:33:18	50	2	12	1.37	56	0.33	63	26	1	20.00	20	20	5	26.42	7.06	16.68	0.752	0.25	69	969
psp64	2019-10-22 17:33:21	50	15	14	1.63	73	0.41	80	13	3	13.33	6	20	5	27.32	7.3	16.98	0.752	0.25	168	1057
psp65	2019-10-22 17:33:23	50	9	1	1.56	69	0.44	80	14	4	10.50	6	20	5	26.46	6.82	15.14	0.752	0.25	138	922
psp66	2019-10-22 17:33:26	50	5	12	1.38	66	0.31	52	7	3	10.67	4	14	5	24.96	6.26	13.22	0.752	0.25	102	811
psp67	2019-10-22 17:33:28	50	9	7	1.52	71	0.40	70	10	2	10.00	6	14	5	27.4	7.36	16.2	0.752	0.25	122	1002
psp68	2019-10-22 17:33:31	50	14	8	1.65	79	0.42	75	26	1	20.00	20	20	5	26.48	7.04	15.08	0.752	0.25	175	1043
psp69	2019-10-22 17:33:34	50	6	4	1.61	72	0.42	80	28	5	14.80	6	20	5	25.0	6.46	14.1	0.752	0.25	115	881
psp70	2019-10-22 17:33:36	50	9	9	1.65	83	0.40	71	12	3	11.33	6	16	5	26.36	6.6	19.48	0.752	0.25	88	1132
psp71	2019-10-22 17:33:39	50	14	6	1.72	89	0.41	72	26	3	20.00	20	20	5	28.26	6.82	17.76	0.752	0.25	88	1136
psp72	2019-10-22 17:33:42	50	10	5	1.48	65	0.40	72	9	1	20.00	20	20	5	25.14	6.34	17.28	0.752	0.25	119	1029
psp73	2019-10-22 17:33:44	50	7	7	1.54	64	0.45	84	12	4	13.00	4	20	5	25.54	6.04	14.52	0.752	0.25	101	903
psp74	2019-10-22 17:33:47	50	8	6	1.44	81	0.25	36	21	1	20.00	20	20	5	25.56	6.54	15.76	0.752	0.25	102	959
psp75	2019-10-22 17:33:49	50	14	9	1.64	80	0.40	73	9	1	20.00	20	20	5	24.68	6.18	16.34	0.752	0.25	131	1049
psp76	2019-10-22 17:33:52	50	15	6	1.6	78	0.40	71	20	4	11.00	4	20	5	28.7	6.86	17.14	0.752	0.25	60	1041
psp77	2019-10-22 17:33:54	50	1	6	1.19	49	0.30	49	8	5	7.60	4	18	5	25.02	6.12	14.1	0.752	0.25	105	805
psp78	2019-10-22 17:33:56	50	4	15	1.41	64	0.31	57	17	2	20.00	20	20	5	27.86	6.76	18.18	0.752	0.25	143	1094
psp79	2019-10-22 17:33:58	50	3	2	1.33	53	0.41	69	23	1	20.00	20	20	5	25.26	6.32	15.06	0.752	0.25	100	883
psp80	2019-10-22 17:34:02	50	6	15	1.63	70	0.46	88	20	2	20.00	20	20	5	26.18	6.64	18.28	0.752	0.25	86	1114
psp81	2019-10-22 17:34:05	50	11	6	1.72	98	0.34	56	32	4	16.00	4	20	5	24.96	6.68	14.56	0.752	0.25	99	959
psp82	2019-10-22 17:34:08	50	15	14	1.72	84	0.40	77	19	2	20.00	20	20	5	25.22	6.8	15.08	0.752	0.25	132	954
psp83	2019-10-22 17:34:11	50	4	10	1.52	70	0.40	70	10	1	20.00	20	20	5	26.54	6.82	17.62	0.752	0.25	98	1074
psp84	2019-10-22 17:34:15	50	7	3	1.53	82	0.28	48	28	5	17.20	10	20	5	26.82	6.58	17.4	0.752	0.25	74	1016
psp85	2019-10-22 17:34:17	50	3	9	1.36	57	0.38	65	20	1	20.00	20	20	5	26.1	6.3	14.26	0.752	0.25	176	899
psp86	2019-10-22 17:34:21	50	6	7	1.41	70	0.30	50	20	5	18.40	12	20	5	25.74	6.62	16.96	0.752	0.25	74	1004
psp87	2019-10-22 17:34:24	50	7	10	1.48	64	0.41	75	14	3	18.67	18	20	5	26.48	6.86	16.6	0.752	0.25	131	1003
psp88	2019-10-22 17:34:27	50	7	4	1.36	69	0.29	45	22	5	18.40	12	20	5	24.74	6.68	17.94	0.752	0.25	69	1075
psp89	2019-10-22 17:34:30	50	1	10	1.17	49	0.30	47	22	3	14.67	4	20	5	26.14	6.64	16.96	0.752	0.25	97	974
psp90	2019-10-22 17:34:32	50	11	12	1.7	82	0.41	78	29	1	20.00	20	20	5	27.28	6.7	15.64	0.752	0.25	121	1030
