Name:	Time of generation: 	 Number of activities: 	 Number of source activities:	Number of sink activities:	Mean number of non-redundant predecessor nodes:	 Number of non-redundant arcs:	Order strength: 	  Number of redundant arcs:	 Number of max time-lags: 	 Number of cycle structures:	 Mean number of nodes per cycle structure: 	Min number of nodes in a cycle structure:	Max number of nodes in a cycle structure:	Number of resources 	Mean principle resource requirement: 	Mean minimal activity duration: 	 Mean maximal activity duration: 	 Resource factor: 	 Resource strength: 	 Network-based LB: 	 UB on optimal makespan:
psp61	2019-10-22 17:25:17	10	3	3	1.3	15	0.42	2	2	2	4.00	4	4	5	25.2	5.5	15.8	0.76	0.25	34	180
psp62	2019-10-22 17:25:17	10	3	2	1.15	12	0.40	2	3	3	4.00	4	4	5	24.5	5.5	11.7	0.76	0.25	34	136
psp63	2019-10-22 17:25:17	10	3	4	1.05	10	0.40	2	3	3	4.00	4	4	5	21.1	5.3	14.5	0.76	0.25	29	172
psp64	2019-10-22 17:25:17	10	2	3	1.05	11	0.40	1	2	1	6.00	6	6	5	28.3	7.6	19.8	0.76	0.25	33	218
psp65	2019-10-22 17:25:17	10	3	1	1.15	13	0.40	1	4	3	4.00	4	4	5	23.0	5.8	11.8	0.76	0.25	36	132
psp66	2019-10-22 17:25:17	10	4	1	1.2	13	0.40	2	4	2	10.00	10	10	5	27.6	6.7	16.4	0.76	0.25	40	198
psp67	2019-10-22 17:25:17	10	2	1	1.0	9	0.58	3	2	1	4.00	4	4	5	18.8	4.8	13.5	0.76	0.25	52	169
psp68	2019-10-22 17:25:17	10	2	4	1.2	13	0.38	2	3	2	4.00	4	4	5	21.1	5.2	13.0	0.76	0.25	39	151
psp69	2019-10-22 17:25:17	10	1	2	0.95	9	0.35	1	1	1	6.00	6	6	5	28.3	6.9	17.7	0.76	0.25	44	193
psp70	2019-10-22 17:25:17	10	3	1	1.05	10	0.47	2	2	1	6.00	6	6	5	28.2	7.8	16.2	0.76	0.25	24	168
psp71	2019-10-22 17:25:17	10	4	1	1.2	13	0.40	2	3	3	4.00	4	4	5	25.3	5.8	13.9	0.76	0.25	43	184
psp72	2019-10-22 17:25:17	10	4	2	1.2	12	0.53	4	2	2	4.00	4	4	5	20.8	4.8	12.2	0.76	0.25	30	145
psp73	2019-10-22 17:25:17	10	3	4	1.25	14	0.40	2	2	2	5.00	4	6	5	28.2	7.3	15.1	0.76	0.25	42	185
psp74	2019-10-22 17:25:17	10	2	4	1.1	11	0.42	2	3	1	8.00	8	8	5	23.9	6.4	13.9	0.76	0.25	44	162
psp75	2019-10-22 17:25:17	10	1	2	1.05	9	0.64	4	2	2	4.00	4	4	5	24.5	5.5	14.3	0.76	0.25	52	159
psp76	2019-10-22 17:25:17	10	2	4	1.05	10	0.47	2	4	2	5.00	4	6	5	26.2	6.8	15.5	0.76	0.25	19	162
psp77	2019-10-22 17:25:17	10	4	1	1.15	12	0.47	2	3	1	10.00	10	10	5	23.9	5.3	14.9	0.76	0.25	40	174
psp78	2019-10-22 17:25:17	10	2	3	1.15	11	0.44	2	3	3	4.00	4	4	5	27.2	7.1	16.9	0.76	0.25	46	190
psp79	2019-10-22 17:25:17	10	2	1	1.0	9	0.56	3	4	2	12.00	12	12	5	25.4	6.3	16.0	0.76	0.25	40	184
psp80	2019-10-22 17:25:17	10	1	3	0.95	9	0.31	1	1	1	4.00	4	4	5	22.9	5.5	15.8	0.76	0.25	35	171
psp81	2019-10-22 17:25:17	10	3	2	1.05	10	0.45	2	3	3	4.00	4	4	5	26.0	6.6	14.1	0.76	0.25	40	183
psp82	2019-10-22 17:25:18	10	3	4	1.15	12	0.44	2	3	1	8.00	8	8	5	28.8	7.8	19.2	0.76	0.25	29	208
psp83	2019-10-22 17:25:18	10	1	2	1.05	9	0.55	4	4	1	10.00	10	10	5	29.6	6.9	17.7	0.76	0.25	52	198
psp84	2019-10-22 17:25:18	10	3	4	1.35	17	0.36	1	5	1	12.00	12	12	5	24.9	7.1	17.2	0.76	0.25	24	191
psp85	2019-10-22 17:25:18	10	1	2	1.0	9	0.42	2	2	1	6.00	6	6	5	25.8	7.8	14.9	0.76	0.25	77	200
psp86	2019-10-22 17:25:18	10	1	1	1.1	9	0.75	6	2	2	8.00	4	12	5	25.8	6.6	21.4	0.76	0.25	49	236
psp87	2019-10-22 17:25:18	10	1	4	1.0	9	0.49	2	3	1	8.00	8	8	5	28.7	7.5	16.3	0.76	0.25	57	175
psp88	2019-10-22 17:25:18	10	4	4	1.4	17	0.40	2	5	3	4.67	4	6	5	21.5	4.7	14.1	0.76	0.25	26	162
psp89	2019-10-22 17:25:18	10	3	2	1.35	17	0.40	1	2	1	6.00	6	6	5	24.6	5.6	14.7	0.76	0.25	29	171
psp90	2019-10-22 17:25:18	10	3	1	1.15	12	0.47	2	3	3	4.00	4	4	5	20.7	6.1	11.7	0.76	0.25	40	133
